Success,Reward,Time,Distance Ratio
1,0.22362744808197021,0.4874999999999994,0.8175750834260289
1,0.23610267043113708,0.29583333333333334,0.36200716845878134
1,0.22870442271232605,0.40416666666666634,0.9560577526679221
1,0.30012136697769165,0.24166666666666667,0.6414499605988968
1,0.25150179862976074,0.5124999999999995,1.0
1,0.14509180188179016,0.47499999999999937,0.9885598923283985
1,0.09860172867774963,0.31249999999999994,0.555350553505535
1,0.3955410122871399,0.37083333333333335,0.8744303797468355
1,0.37451764941215515,0.4166666666666666,0.9019047619047619
1,0.2394820749759674,0.4124999999999997,0.8810709838107098
1,0.37438422441482544,0.31249999999999994,0.614963503649635
1,0.20083728432655334,0.4708333333333329,1.0
1,0.3708515167236328,0.3,0.5279159756771697
1,0.24967432022094727,0.31249999999999983,0.5424966799468791
1,0.2337874174118042,0.3833333333333329,0.614788312462731
1,0.28985515236854553,0.46666666666666634,0.8944099378881987
1,0.1996331512928009,0.26666666666666666,0.5408163265306123
1,0.21928659081459045,0.34166666666666634,0.641672196416722
1,0.26486068964004517,0.24583333333333354,0.22895125553914325
1,0.35574012994766235,0.23333333333333334,0.7070393374741202
1,0.3812921643257141,0.1875,0.43535188216039283
1,0.24970674514770508,0.3708333333333332,0.8360402165506574
1,0.27044397592544556,0.13333333333333333,0.23284313725490197
1,0.2967929244041443,0.36666666666666625,0.6211111111111112
1,0.2233196645975113,0.23333333333333345,0.3220338983050848
1,0.3103683590888977,0.6624999999999995,0.918103448275862
1,0.43848833441734314,0.3416666666666665,0.812004530011325
1,0.2055269181728363,0.41249999999999953,0.8644168146832445
1,0.19723129272460938,0.49166666666666614,1.0
1,0.13513675332069397,0.39166666666666616,0.895
1,0.23887306451797485,0.6208333333333329,0.9285714285714286
1,0.2203657627105713,0.6541666666666661,0.9591651542649726
1,0.25821736454963684,0.3999999999999998,0.8498827208756842
1,0.331708163022995,0.26666666666666666,0.5590393595730486
1,0.3197939991950989,0.20416666666666666,0.5317220543806647
1,0.30554938316345215,0.4374999999999998,0.9057196731615337
1,0.2706120014190674,0.3,0.7738439306358382
1,0.32921990752220154,0.32916666666666666,0.8124238733252133
1,0.22875015437602997,0.20416666666666675,0.17219730941704037
1,0.2442256510257721,0.32916666666666655,0.8195792880258899
1,0.43355995416641235,0.3749999999999999,0.933852140077821
1,0.47975122928619385,0.4374999999999999,0.9620410703173615
1,0.1793593466281891,0.34166666666666645,0.6339483394833948
1,0.27575188875198364,0.5041666666666665,0.8798076923076923
1,0.4669247269630432,0.30833333333333335,0.9042253521126761
1,0.23383334279060364,0.2666666666666667,0.5513468013468014
1,0.31693217158317566,0.41249999999999964,0.8986175115207372
